,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
6297,TEE FRANK REALTY,TEMECULA,CALIFORNIA,92592,US,"Tee threatened to break our lease because we asked her to remove the carpet cleaning clause from our lease. On move in day there was glass and construction debris littering the entire house. 
The roof leaks and when asked if the house had mold, she said no, then upon signing the lease, she gave us the California mandatory mold paperwork that you have to give your tenant when there is evidence for mold in the home. 

She's a leech at best. Definitely does not care about anything other than collecting rent and avoiding spending any of it on her houses",1,2,1,5,1
6298,SKYLINE LIVING,KINGSTON,ONTARIO,K7M5X1,CA,"After moving in to a unit it became how apparent both the previous tenant and the staff care about cleanliness: Dead bugs on window sills, lots and LOTS of hairs in the bathroom, mysterious gunk on some surfaces in the kitchen. 
Some maintenance issues from day 1 as well, which they took several weeks to respond to - all things they should have looked at during the moving out of the previous tenant IE cabinets coming off at the hinges. 
Besides the above I have had no issues major issues besides cigarette smell in the halls at any given time despite a no smoking indoors policy - living there has been smooth for the most part following the gut-wrenching cleaning I had to do on the first day of living there. There is the occasional night of loud music or partying; the few times this has been unfairly disruptive IE 1am on a Tuesday the landlord is quick to respond and ask the other person to quiet down which I do like. 
It’s not necessarily a problem but I would like to note on here that the building staff find some reason or another to enter your unit typically once every couple of months; they do this after providing written notice and it’s usually just to flush the toilet during the day. 
They are a good landlord overall, if you are anal about good hygiene and having things in good repair then I would avoid. Skyline staff if you are reading this - I mean no disrespect, I know some of you work hard to maintain the building and grounds, but people need to be warned in case they expect something cleaner/nicer given the high cost of rent. ",3,2,5,4,5
6299,W&S BERNARD INVESTMENTS LTD,KELOWNA,BRITISH COLUMBIA,V1Y5Y8,CA,Despite court orders from the RTB to deal with a pest infestation the landlord failed to comply and instead retaliated by giving eviction notices. The 'repairs' are done by the landlord which amounts to vandalism; they then blame the tenants for the landlord's actions; elevator 'reapairs'; flooding 'repairs'; etc.,1,1,1,1,1
6300,ELLIOTT ST APARTMENTS,KINGSTON,ONTARIO,K7K6J9,CA,"Never have I had a landlord make so many demands to enter everyone's apartments before. At least 4-5 times per year they are going through everyone's place which is incredibly intrusive and annoying. 

They are constantly raising the price of the laundry machines even though if you fill up the washer you're going to need to run the dryer AT LEAST twice. Awfully convenient to raise laundry prices while your dryer is barely warmer than room temp. 

They raise the rent literally every chance they can. Since moving out my current landlord has not raised rent one time despite my place being wayyyy below market rate already. 

The stove they provide is from the 70s or something. You know that gross yellow/beige coil element stove your grandma had? Yeah you still use that if you live with these guys. 

My apartment had no less than 5 different types of flooring. Basically made it look like I was living in a building made of glued together popsicle sticks. 

They added numbered parking spots which was nice at first but then people kept taking my spot as it just happened to be a desirable one and the LL did absolutely nothing, basically expected me to just suck it up. 
",4,2,1,1,3
6301,MARCHIE ASUNCION,NORTH YORK,ONTARIO,M2R2C2,CA,Nice at first but then became overly invasive and disrespectful. She felt as if I owe her something and wanted to control how I behave at the property. I left cause of that ,5,5,1,1,1
6302,DAVID HO,VANCOUVER ,BRITISH COLUMBIA,V5R4T1,CA,"Moved into the unit with roommates October 2020, rent was $3000/m for tio 2 floor of a 4bdrm house. There were 4 of us, as it was advertised as a 4 bdrm house. Things were fine for about a year and a half, until the landlord suddenly sent us a letter saying they had ""recently noticed"" that there were 4 of us living in the house that were non-related or common law, that this violated their home insurance policy, and that the 4th tenant had to move out immediately. Otherwise they threatened eviction. We filed a dispute with the RTB on the grounds that we had been upfront from the beginning that there were 4 of us, and that if it violated their insurance, the onus was on them to know that, not us as tenants. By the time our hearing came around, the 4th person has left anyway, and we didn't want to stay. RTB brokered an agreement where the landlord agreed to let us stay ""up to January 31, 2022"" while we looked for a place. We started looking right away, had a lot of trouble finding a place. Finally found some decent prospects, but landlords told us, no, the RTB said you had to stay until January 31. This was incorrect, as the wording was ""up to"", but we had to file for official clarification. RTB sided with us, we moved out December 31. Upon move out, landlords tried to ding us on literally everything, including saying we were responsible for hiring a professional cleaning company and a power washing company for the patio. A few weeks after moving out, they sent us a quote from a ""construction company"" billing us $2300 in repairs, in addition to keeping our deposit of $1500. Construction company was just one of their Chinese friends, and we did not pay, despite them ""graciously"" offering to waive $400 for cleaning company fee if we paid before January 15. They are now trying to take us to rental court over this ridiculously inflated repair fee, which is very obviously them just  trying to get us to pay for their home renovations. We counter-claimed, stating that by law, they had until the 15th to either return our deposit or file an RTB dispute. They did not file until the 22nd. More recently, they made an addendum to their claim, saying that in addition to the $3800 they are already trying to claim, that we owe them a further $3100 for ""missing rent"" for January. This is despite us moving out in December, us giving proper notice, the RTB confirming we were not obligated to stay until January 31 as long as we provided 1 month notice, AND them having a new tenant move in January 1st. DO NOT rent from them, or they will scam you, threaten and intimidate you, and come after you. Oh, and did I forget to mention the house had a mice infestation? Steer clear. ",1,1,1,3,1
6303,THORWIN PROPERTIES,WINNIPEG,MANITOBA,R3L1W6,CA,,2,3,2,3,2
6304,VIETNAMESE NON-PROFIT HOUSING CORP.,WINNIPEG,MANITOBA,R3B3K5,CA,,3,1,3,4,3
6305,NICK TAVERNESE ,NIAGARA ON THE LAKE ,ONTARIO,L0S1J0,CA,"I just had to review my landlord. He’s honestly wonderful. In 10 years of renting we’ve never had a landlord this kind, this communicative and this fair. Can’t speak highly enough if this guy. He fixes things immediately, and respects our privacy. ",5,5,5,5,5
6306,MANOR HOUSE HARBOR GROUP INTERNATIONAL ,DALLAS ,TEXAS,75202,US,"Harbor Group bought the Manor House in 2018 they with a federal loan meant to help stabilize the house market. They did the opposite. They also harassed & threatened to evict tenants who's rents were below market or they just didn't like. I lived tgere for a year before they bought the building. It wasn't perfect but everything worked. I saw 0 roaches. No mold. A year later, there were roaches everywhere in the microwave clock, in the back of the refrigerator and oven. In the electrical outlets. They got code violations. The washers actually made your clothes dirty. There was a leak and water was coming out of the walls. Then there was mold inside the walls. There was a fire on the 25th floor and our alarms didn't go off. Since they never clean the dryer vents, it's only a matter of time before there's a fire.  They are over billing the utilities and pressure people into buying renters insurance that doesn't cover their stuff from them.This was a good building & Harbor Group ruined it.",3,1,1,1,1
6307,JANE WOOD,TORONTO,ONTARIO,M6K1C4,CA,"House is falling apart. Does patch up jobs instead of full repairs and the original issues ends up worse ie roof collapsing in winter, pipes so old clogging toilets water backing up every few months, steps broken never repaired in the 20 years she’s owned the house not one thing has been renovated. Shameless and disgusting. No respect for privacy enters units when tenants are not not there without consent.",1,1,1,1,1
6308,CHARLES LAWSON,ROCHESTER,NEW YORK,14607,US,For most of the tenancy he was professional and respectful.  Got very picky and meticulous when moving out.  He did not return my security deposit according to NYS law and only returned it when I sent him a copy of the law.  Some mold issues not addressed during tenancy.,4,3,3,3,5
6309,METCAP LIVING,ETOBICOKE,ONTARIO,M9C2A7,CA,"25 Eva was recently acquired by Metcap, and since they have taken over the following has happened. We have bug infestations, have pictures of cockroaches in the hallway. Building management will call the police on you if you are loading your car of laundry if it’s not in a proper spot. Building manager was found to have been going into apartments without consent. Absolutely awful company to have taken over, the building is a dump now. ",1,1,3,1,1
6310,CRYSTAL PROPERTY MANAGEMENT,LOS ANGELES,CALIFORNIA,90501,US,"Horrendously disorganized, scammy and greedy. Every tenant named on a lease in our building has experienced one or more of bogus charges, lack of compliance with lease terms, or sneaky changes to lease terms made after signing. All units have experienced inadequate responses to emergency situations related to poor property management; electrical fires, electrocution due to shoddy wiring, damaged plumbing, poor building construction maintenance.. And they have the nerve to keep trying to raise the rent beyond legal limits.",2,1,2,1,1
6311,STERLING HEIGHTS,BENICIA,CALIFORNIA,94510,US,"I actually really liked this complex. The staff was great and super friendly. My only complaint was the cost of rent. We did not live in a major city like San Francisco or anything like that, yet our rent was 2,100 - 2,150 for our one bedroom apartment. Personally I think 2,100 for a one bedroom isn't justified anywhere... but it was either that or live in a crappy neighborhood with gun violence. ",5,5,4,5,5
6312,CHANTEL LALONDE,CHILLIWACK,BRITISH COLUMBIA,V2P2P6,CA,"This is a very toxic building with a horrible caretaker. Getting repairs done takes years literally.  Dog urine, and feces in the hallways constantly as tenants do t leather dogs out.caretakerspies on tenants and is featured on the local landlords and tenant's site.  Privacy is at nitl with the neighbors also. This place thrives on misery I do not recommend.  ",1,1,2,1,1
6313,ANNA AND HENRYK BUKACZ,EDMONTON,ALBERTA,T5K1L5,CA,"Anna and Henryk were relatively nice while we lived in their unit. They owned two units in the condo, one in which they previously lived in. They were not respectful of privacy as when we decided to rent the place, we had to send out an application to the tenant living there at the time because they don't like using the internet. Due to them being unfamiliar with email, we were not able to have written or digital records of any issues. A constant issue in the building was that our unit and building were infested with ants. Our unit was exterminated five times in a year and the ands continued to return. Ultimately, what has led me to leave this review and rating is that once we decided to move out from the unit after a year was their inflexibility with rental prices (the unit and building were old and they were charging more rent than other units in the building and were not willing to consider a lower price). Once we ended our lease, they began bullying us and became belligerent. We cleaned our unit impeccably, but they wanted to charge our damage deposit for leaving one nail hole in the wall and not dusting the inside of the closet DOOR before we moved out. They yelled and screamed at us and blamed previous damage that was noted in our original damage report on us. It became a Jekyll and Hyde situation with them. I do not recommend renting from them! Crestview Tower in Edmonton (units 1204 & either 1104 or 1004)  ",4,2,3,1,1
6314,REAL PROPERTY MANAGMENT SUBURBAN CHICAGO,CHICAGO,ILLINOIS,60625,US,"These guys close maintenance requests and hire friends who do the worst repairs and work. Won't fix stuff for months at a time, if at all.",1,1,3,1,1
6315,TOMSON JOSEPH,ORILLIA,ONTARIO,L347X4,CA,Does not understand Ontario tenant laws.,3,3,3,3,2
6316,VANTAGE REALTY ,KELOWNA,BRITISH COLUMBIA,V1V1N2,CA,"They are just consuming oxygen to take your money, no care for tenants whatsoever ",4,1,2,1,1
6317,SUNNI BAINS,VICTORIA,BRITISH COLUMBIA,V8P2Z3,CA,"Sundeep Bains is a landlord that rents a renovate “man cave”, which is described as a separated suite. On multiple occasions, Sunni was verbally agressive, extremely mysogenistic (wouldn’t do any talking with women involved in the lease), and neglected to fix both smoke detectors, and sharp nails coming from the floor for months. When we began to reference the BC tenancy agreement, Sunni gave us an eviction notice, stating that he would be moving more family in. At the end of the tenancy, Sunni incorrectly did not give our whole damage deposit back, even though no walk through, and thus documented damage was found. ",3,1,2,1,1
6318,ADAM CANDON,KINGSTON,ONTARIO,K7K1W6,CA,Horrible landlord. No communication. Mold in the house and moved in with all the smoke detectors off the walls. Says he will show up for repairs and then never does. Does not keep the parking lot in winter plowed or clear. Is rude when you contact him with questions. Do not rent from him if you can avoid it!!!,2,1,4,3,2
6319,SKYLINE LIVING,KINGSTON,ONTARIO,K7K6N9,CA,"The biggest issue we've been having in the 2 years of living here is repairs. You have to constantly ask and things still don't get done. Holes and damages from water were left untouched for months before they even looked at it. Currently there's issues with the water mixers that are broken causing burns from water or freezes you depending on how the mixer feels that day. In the other aspects they are alright, no perfect but alright.",1,3,4,5,4
6320,SYMPHONY PROPERTY MANAGEMENT ,CINCINNATI ,OHIO,45213,US,"Leaks have taken forever to be repaired. They don’t care that I’ve found visible mold. One of their maintenance guys helped himself to one of my vapes - caught on camera. Same maintenance guy messed up glaze in tub twice, still waiting for someone else to fix. Can’t control heat, 70° outside and I’ve got every window open and every fan running because I refuse to use my electricity on a/c. Parking - one person tells me I can park in a certain spot, then I get yelled at for it later. Ugly concrete flooring that dips in a few places (I’m literally walking downhill to go into my kitchen or bathroom). Found air conditioner cord had a huge hole in it last year - it’s still “fixed” with electrical tape. Water can take up to 5 minutes to warm up. The property manager is awful to deal with, she’s like a power-hungry cop. I’m sure I’m forgetting something. ",1,1,3,2,1
6321,KEVIN ROOT,PETERBOROUGH ,ONTARIO,K9H2N6,CA,Despite multiple attempts this landlord would not complete repairs...he stood on my kitchen table to attempt to fix a ceiling fan three times until it fell on my head and caused a concussion. He would never give notice before arriving and would leave his stuff in our storage area or laying around our backyard. ,1,1,3,1,1
6322,SAGE,KINGSTON,ONTARIO,K7L1E5,CA,"Generally responsive to complaints, though sometimes took months to fix issues. In fairness, said issues were generally not impeding use of the property. ",4,4,5,5,4
6323,SHELTER CANADA,FORT MCMURRAY,ALBERTA,T9K0A2,CA,,4,4,4,3,3
6324,SHARON ,VICTORIA,BRITISH COLUMBIA,V8T1R9,CA,"This house is on the corner of Bay and Vancouver and rented out on multiple floors. They do not give you accurate notice before entering your suite. They will bully you about any and everything, they will kick you out or raise the rent every year no matter what. They will threaten you, if you go to the RTB they will also do so and ‘make you spend even more money’. These people put me through hell in a already horrible time of my life and did not make me feel safe in my home. They truly were bullies from the start to end of my tenancy. ",1,3,1,1,1
6325,BROWN BROS,VICTORIA,BRITISH COLUMBIA,V8R4K3,CA,"Frequent pest and heating problems, old building. Negative google reviews disappeared... They only seem to care about ""renovating"" apartments to rent them at higher prices.",2,2,2,3,3
6326,HOMESTEAD ,KINGSTON,ONTARIO,K7M2A1,CA,,3,1,4,3,3
6327,ELI STEGENGA,SEATTLE,WASHINGTON,98133,US,"Lost rent checks, eviction “notice” handwritten and pasted to the door with a bandaid. Never answered the phones. Sketchy, melted outlets.",2,2,1,4,2
6328,ANNE MARIE CIRCELLI JENNINGS,KINGSTON,ONTARIO,K7M8G2,CA,"Landlord is an older woman in her late 60's/early 70's. She screams at someone in her home, I'm not sure if it's her grandkids or her kids or a friend but she sound very angry. She's always acting like she's better than everyone else and in front of her friends or strangers she has this weird fake personality like she's trying to come off as perfect but as soon as people leave I hear her talking really bad things about them.  She is very disrespectful towards me, and acts like I should do everything she asks because I'm ""living in her house"". I can only imagine what she tells people when my back is turned.",2,2,1,1,1
6329,JAMES BARBER ,KINGSTON,ONTARIO,K7L1B7,CA,Great landlord! Very fair and quick in responding urgent repair requests.  ,5,5,5,5,5
6330,REAL PROPERTY ASSOCIATES,SEATTLE,WASHINGTON,98116,US,,2,2,3,4,2
6331,GUIDE PROPERTY MANAGEMENT,REDMOND,WASHINGTON,98052,US,Unjustifiably withheld the entirety of my damage deposit when moving out. I broke my lease early and had to pay a $3000 fee so this was insult to injury. The previous tenant had lived in the unit for 4 years and I was there for 9 months. The property manager complained on my behalf to say it was unreasonable and he had inspected the unit. This company is bloodthirsty and will squeeze you for every dime. Photograph every inch of the unit if you sign anything with them and be ready to take them to court when you move out. ,3,3,1,3,1
6332,JAN KIM,HONOLULU,HAWAII,96814,US,,1,1,1,1,1
6333,JOHNNY PENG ,EDMONTON,ALBERTA,T5K1T3,CA,"All in all, Johnny and his company Century 21 A.L.L Stars Realty LTD. have been amazing landlords. Any repairs I had questions about have been addressed and I feel as if they always give enough notice for me to manage my own affairs. The only complaint I have is that the apartment at 10159 115 street is not always well attended as far as some yard maintenance issues (snow clearing, dog poo). I feel like this should be more of a priority. ",4,4,5,5,5
6334,COWBOY PROPERTIES,PROVO,UTAH,84601,US,"Unit was not clean when I moved in, I rented a carpet cleaner and the water came out disgusting. Other renters have complained about the same issue. Building managers are great at addressing repairs to the unit in a timely manner, but not to the building amenities. Parking structure has certain areas with leaks that have not been fixed in over a year.  Renters are supposed to have access to a rooftop, but that amenity was closed for months. It could still be, I just gave up and stopped checking. The trash chute smells very strongly sometimes and staff does their best to keep it clear but it seems like a structural issue. Despite a reduction in amenities, there was a 20% rent increase in 2022. There’s been a smaller increase in 2023, despite area’s property value decline. It’s an okay place to live, but it could be A LOT better, feels exploitative.",5,3,1,5,5
6335,JENNA,NANAIMO,BRITISH COLUMBIA,V9T3M5,CA,"Hands down the worst landlord ever experienced. Closed off the only window fire escape, will do renovation at 7am with no notice, the list goes on. Her boyfriend tried to fight me over them using power tools outside the suite bedroom window at 1:30am! Apparently I had no right to be upset about that. Will scream and yell you over nothing, while taking over the laundry room that the tenants have to walk through to access suite. Do not recommend ever renting from her.
",1,1,1,1,1
6336,KAREN SWEENEY,SEATTLE,WASHINGTON,98199,US,,5,3,4,5,1
6337,PATRICIA (PATSY) & WILLIAM (BILL) BACKER,NORTH BAY,ONTARIO,P1B6G7,CA,,1,1,1,1,1
6338,GREG HUBER,SEATTLE,WASHINGTON,98105,US,"Greg has been a great landlord!  Maintenance on the building has been timely and thorough, he's always been respectful of his tenants, and above all a kind human.  Wish there were more like him!",5,5,5,5,5
6339,ANDREW REBEYKA,VANCOUVER,BRITISH COLUMBIA,V5T2V6,CA,"Advertisement for rental included false information. Andrew did not do any upkeep to the building which lead to hazards such as leaks, mold and fire code infractions. Electrical was old, stairs were not up to code even though a renovation had recently taken place. Blinds were held up with scotch tape and he refused to replace them even though they were broken before we moved in. Several lights did not work, and closets were missing handles. He never repaired them even though we asked. He is a lazy and unethical landlord who only wants to collect rent but doesn't care that being a landlord comes with responsibility.",1,1,1,5,2
6340,JESS PETTIS,PRINCE GEORGE ,BRITISH COLUMBIA,V2N2G9,CA,"This person is literally the most disrespectful person I have ever had to engage with. He and his parents bullied me into signing a lease that took half the house I was living in away and he moved into the basement and created an illegal suite, while charging me almost what I was paying before. His mother came in to my house and started spewing profanities in front of my young children and proceeded to threaten me. The son is the actual landlord and his parents should not have been involved. He did not provide any space for laundry, complained about my every little move and noise my kids made, and partied until all hours of the night despite knowing he was keeping my kids up before school. Just an all around not great guy! He is still renting both the upstairs and downstairs of the house that doesn't have proper sound buffering, ventilation or exits in case of fire. Definitely an illegal suite.",1,1,1,3,1
6341,ROBERT FELLOWS,SEATTLE,WASHINGTON,98117,US,"Robert is one of the few property managers I've met who really cares. He gives updates on maintenance tickets, communicates inspections well in advance, and responds to tenant safety concerns/requests quickly. I've stayed in this building largely because he and his team do such a great job running it! ",5,5,5,5,5
6342,BOLD L&H LOFTS,CHICAGO,ILLINOIS,60612,US,,5,2,2,3,1
6343,RPAPM REAL PROPERTY MANAGEMENT ,SEATTLE ,WASHINGTON,98109,US,Ridiculous and unnecessary rate increases without repairs or maintenance ,1,1,2,2,1
6344,ARDENT PROPERTIES ,NANAIMO,BRITISH COLUMBIA,V9T6S9,CA,"I was evicted so property could be sold which is illegal so they said I could let them know when I found a place but offered a 5000$ payment to vacate. This would be on top of the 2 months free rent that is standard. I got a place in the first and told them I’d be leaving at the end of the month but had already paid rent. Not only was I not reimbursed for the 2 months, which is the law, they never gave me the 5000$ either. They just stopped communicating with me. I am a single mom with 4 kids and this was a life changing betrayal. Rental board said they can’t help because I should not have moved. It was an illegal eviction in the first place. ",3,1,1,1,1
6345,BOARDWALK PROPERTIES ,ST. ALBERT,ALBERTA,T8N3B9,CA,"-jacks up rent prices upon lease renewal
-repairs bare minimum, and when done are done to very low standard
-mold not being addressed despite asking for it to be dealt with
-has entered apartment on the wrong dates stated as well as entered when meaning to enter another suite ",1,2,2,1,4
6346,DON KENNEDY REAL ESTATE,SEATTLE,WASHINGTON,98199,US,"My land lord has taken over 6 months to repair two dryers that over 50 units use, along with a single washer that is also out of commission. Recently there have been several hallway lights flickering which indicates an electrical issue that they will most likely never fix. The property manager is unresponsive and the maintenance person only responds through random notes put around the building. ",1,3,3,4,2
6347,DEVON PROPERTIES,PARKSVILLE,BRITISH COLUMBIA,V9P1N5,CA,"Oh goodness where to even start with these jokers. I moved into a brand new building, about a month after it opened. 

TLDR: Devon properties is full of thieves planning on turning our community into a slum city.

I had called and arranged a date and time to move in, to have one of the elevators put on hold. They never did this, didn’t put any padding up (like they did for other tenants), and claimed they had no idea I was moving in, despite showing them the email chain that they had been replying to. 

The apartment was unfinished. Paint was not done and there was damage all over the apartment, dings on walls, damaged drywall, scuffed paint, damaged tub, damaged microwave, and the floor was peeling up (remember this is a BRAND NEW building). The building manager promised the work would be done and the issues corrected. I never saw any repairs done, even after a year of being there and multiple calls/emails/visits. Every time I brought it up I was promised the work would be done soon. Lies, lies, lies. The work was never done when I moved out, and the mdf trim that was in the washroom that was never sealed or painted was already starting to warp.

The heat pump stopped working correctly and they said it would be 5 months to get a repairman in to look at it (so I just fixed it myself). 

The washer and dryer stopped working and after weeks of waiting, they told me it would be a couple weeks for the tech to come take a look at it, they never did come. 

Each unit had a storage locker that was supposed to be on the same floor as the apartment (this was in the lease), it took me 5 months before I got the storage locker and mine was down in the basement. They left the keys in the storage lockers and just let people have a free for all until they got things relatively sorted out after another month of bs. 

There were no lightbulbs in the fixtures when I moved in, and this was marked on my inspection. They still tried to charge me for no lightbulbs when I moved out.

They sent a maintenance guy to the apartment with no notice to fix the kitchen sinks, there was no overflow drainage in them. The guy looked like a bum off the street and showed up while I was at work. He tried to force his way into the apartment while my girlfriend was there alone, and scared her with how aggressive he was being. He literally tried to shove his way into the apartment.

They went through 4 building managers during the year that I was there. They mistreated, overworked, and underpaid all of them. So they kept quitting.

The website they used for paying rent was constantly down. It didn’t work, it would crash all the time, and wouldn’t process payments reliably, and often took several days to do so. As a result I got hit with many late fees and ended up getting cheques to pay with.

When I moved out, they tried to claim that I didn’t pay my last months rent (I did). I showed them the carbon copy of the cheque, the cheque image, and a screenshot of the money coming out of my account. They refused to acknowledge any of this and still sent the balance to collections.",1,2,1,1,1
6348,ANDRÉ FAUCHETTE ,LACHINE ,QUEBEC,H8S1T3,CA,"I have been renting from Andre for 3+ years now and he is a decent person. thought he has increased our rent by the minimum per year without much justification, he’s also very available when needed. 
he likes to do everything himself which sucks because it takes way longer than needed but i guess keeps costs low idk. he raises rents when people move so i’ll opt for a lease transfer when i leave to avoid that but otherwise he’s decent for a mtl landlord ",3,4,5,5,4
6349,AFFILIATED MANAGEMENT,BLOOMFIELD,NEW JERSEY,07003,US,Super lied to us during tour and claimed the building was quiet and peaceful. Didn’t tell us it was primarily rented by college students who were all away on spring break. Building became extremely dirty after super suddenly moved out and no replacement was hired. Many complains were sent to the management company and nothing was done to address the smell/disorder. Zero soundproofing whatsoever that made it impossible to sleep at night in the crowded building. It was the most miserable year in my life. Eventually they let me break my lease after 50+ noise and cleanliness complaints. They were so so so awful.,2,1,3,3,1
6350,INCITY,SEATTLE,WASHINGTON,98102,US,Rent increases with little repair and maintenance done to building. Also poor communication from management team. ,2,1,3,3,2
6351,WINDSOR COMMUNITIES,DENVER,COLORADO,80210,US,"They manage two huge properties, totaling 7 or 800 units total. But one is ""lower scale"" so there's literally less staff on property most of the time. The prop. manager is like only in 3 hours on some days. He was very willing to help with issues once he was pinned down, but the rest of their staff is usually inexperienced due to the high turnover. The only thing they wouldn't do much about was noisy neighbors, prompting me to call security who was officed like 15 minutes away.",2,4,5,4,4
6352,WESTWARD 360,CHICAGO,ILLINOIS,60647,US,Westward 360 is one of the worst management companies I’ve ever had the displeasure of working with. They talk down to their tenants like they are children and are not efficient with repairs. They are neglectful!,1,2,4,4,1
6353,LISA RECINE,MONTREAL,QUEBEC,H2S2W7,CA,"She doesn't take tenants concerns seriously. Be it mold, rats, roof leaks, window seals, broken locks, damaged floors or walls, she will tell you ""I'm too busy to deal with this right now"", ""I'm working on it"" or some other weak excuse. She may even go as far as laughing these issues off when you remind her after months of inaction: ""Oh, the roof leak hasn't been repaired yet? LOL"". She will lie to your face, then accuse you of lying: ""Oh we already sent someone to do the repairs, but you weren't home"" (we were home the whole day). The only real way to get her to do repairs  ever is to threaten legal action or take her to the TAL. She won't hire professionals to do the repairs, but will rather have someone in her family do a half-assed job that they may even not finish. And if the problems re-appear, she might still laugh it off: ""Didn't we repair this a year ago? LOL"". And when doing this sort of repairs, she will feel emboldened to increase the rent to cover the (non-existent) repair costs. The buildings owned by her fmaily, the Recine family, building are in a very bad shape. They will tell you that an apartment has been recently renovated (or ""semi-renovated""), with the goal to charge above market rent. But their apartments are mold-infested slums. I have never met a more neglectful landlord.",1,1,3,2,1
6354,DARLA HOULT,ST. CATHARINES,ONTARIO,L2M3P2,CA,Currently sueing the landlord,1,1,1,1,1
6355,YANN GUIGUEN,VANCOUVER,BRITISH COLUMBIA,V5N2B7,CA,Great landlord. Friendly but doesn't get into your business. Didn't raise our rent and I felt that the rent was reasonable for the area. Never made any unnecessary complaints and never did anything illegal. ,5,5,5,5,5
6356,BRADEN EQUITIES,EDMONTON,ALBERTA,T5K,CA,,2,2,3,2,2
6357,JENNY CHANG,VANCOUVER,BRITISH COLUMBIA,V5M4X1,CA,"Awful landlord. Limited the amount of laundry we could do to only two loads a week, didn't tell us before moving in that the laundry would not work in the winter due to pipes freezing. Accused us of using my when we were not suppose to even though we weren't. Blamed us for the high utility bills even though we had no control of the heating. 

Told us that we couldn't have too many friends over (we only had two other people over), had cameras everywhere and accused us of having an extra roommate because my roommate’s partner stayed one night, and told us that we aren't allowed to have overnight guests. 

Wouldn't turn on the heat in the winter until we complained, told us that she only turns on the heat when the temperature is below zero and only turned it on when we told her that was illegal.

Would only accept payment in cash only, and the lease was not even a real lease.

A very greedy landlord that only cares about money and does not want you to treat it like a proper home. Felt like I was walking on eggs shells living here.",1,1,1,1,1
6358,KELSON GROUP,KAMLOOPS,BRITISH COLUMBIA,V2C6C7,CA,"Seemed like a good place to be when I first got there. Because I was dealing with the managers sister while the manager was off sick. She seemed reasonable, her brother not so much. Had my baby mama visiting either her dog for a few days, and instead of confronting me, he ambushed her when she was taking out the garbage and the dog for a walk and poop, and told her she can't have that dog here.
After we had found a place for the dog, I was letting her stay with me for a time, we were supposed to be getting back together, but thanks to him once again confronting my partner, instead of myself. Twice. ",4,2,1,2,2
6359,THE RESERVE AT TOWN CENTER APARTMENTS (EQUITY RESIDENTIAL),MILL CREEK,WASHINGTON,98012,US,"Maintenance is prompt and location is nice. Walking distance to coffee shops and restaurants. Access to nature trail. Wear and tear on the units is not great and the floor boards creak extremely loudly. Sounds like a wooden ship and they refuse to do anything about it. ""Renovations"" were done cheaply and a lot of the work in the kitchen and bathrooms is shotty. Units are very drafty in the winter. You can feel cold air coming through cracks in the kitchen counter tops. There are problems with ants coming through cracks in the walls in the spring and summer. Pet policy is okay but they make you pay for DNA tests upon move-in to ensure tenants pick up after their pets but it doesn't work. There is always poop all over the complex and management doesn't care. Many residents complain of break ins to their vehicles on a regular basis. Unhoused persons are frequently seen wandering around at night or early in the morning. Package theft is common and the ""secured"" package room in the leasing office was broken into and all packages stolen recently. Annual rent increases are criminally high. Rent went up almost $1,000 within 2 years. Proceed with caution.",4,3,3,5,5
6360,CLAUDIO FALSETTO (FALSETTO GROUP),OTTAWA,ONTARIO,K1R0A8,CA,,1,2,3,5,3
6361,COZY PROPERTIES,CAMBRIDGE,MASSACHUSETTS,02141,US,"Raised our rent $300/person/month with only 90 days' notice (a $7200 annual increase for a 2BR apartment). We were already paying above market rate. Just greedy and disappointing, because otherwise it was an okay apartment.",5,5,1,4,4
6362,AYER,COLCHESTER,VERMONT,05446,US,,2,3,4,1,2
6363,SPLITSPOT,BOSTON,MASSACHUSETTS,02135,US,,1,2,4,5,4
6364,DOROTA AND ANDY BODUCH,CHICAGO,ILLINOIS,60647,US,Lived at their property. They let a problem with rats go on too long and blamed us when we were in constant communication. Said our apartment was in bad shape when it wasn't updated and cleaned from previous tenants. They don't want to be bothered. Took a month to fix our stove. lied to prospective landlords after the fact. Never gave us a legal list of why they were keeping he deposit and instead sent an informal text.,2,1,3,4,2
6365,AXON,KINGSTON ,ONTARIO,K7L3Y5,CA,,4,5,5,5,4
6366,MAPLE PLACE APARTMENTS,SURREY,BRITISH COLUMBIA,V3R4C4,CA," Family management on site has criminal records longer than my arm.

Manager on site uses verbal threats to intimidate tenants out of reporting repair requests.
",2,1,1,1,1
6367,KAREN AND CHARLIE WILSON,SALMO,BRITISH COLUMBIA,V0G1Z0,CA,"this women physically attacked me , there is now a police file. these people also lied over end over to the tenancy Board and it was proven.",1,1,1,1,1
